city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,target
city_136,Missing,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,4,Missing,Pvt Ltd,never,0.0
city_16,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,0.0
city_70,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,1,0.0
city_98,Missing,Has relevent experience,no_enrollment,Masters,STEM,13,10/49,Pvt Ltd,4,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,1.0
city_16,Male,No relevent experience,no_enrollment,Graduate,Humanities,>20,10000+,Pvt Ltd,>4,0.0
city_162,Missing,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,1,0.0
city_114,Male,No relevent experience,Full time course,Graduate,STEM,10,Missing,Other,1,0.0
city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,4,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,11,50-99,Pvt Ltd,2,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,3,10/49,Early Stage Startup,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,0.0
city_36,Male,No relevent experience,no_enrollment,Graduate,Business Degree,19,1000-4999,Pvt Ltd,never,0.0
city_21,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,1,1.0
city_93,Male,Has relevent experience,no_enrollment,High School,STEM,>20,50-99,Pvt Ltd,never,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,3,Missing,Missing,never,0.0
city_114,Male,No relevent experience,no_enrollment,Masters,STEM,>20,50-99,Public Sector,>4,0.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,6,<10,Early Stage Startup,never,0.0
city_162,Male,Has relevent experience,Full time course,Graduate,STEM,>20,Missing,Missing,4,0.0
city_48,Male,Has relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,8,Missing,Missing,3,1.0
city_73,Female,Has relevent experience,Full time course,Graduate,STEM,6,Missing,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,1,0.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,0.0
city_21,Missing,No relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,1,0.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,<1,10/49,Early Stage Startup,never,0.0
city_61,Male,No relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,4,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Missing,Missing,1,0.0
city_97,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,0.0
city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,1,1.0
city_64,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,0.0
city_103,Male,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,never,1.0
city_11,Male,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,1,1.0
city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,2,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,NGO,1,0.0
city_16,Male,Has relevent experience,no_enrollment,High School,STEM,10,100-500,Pvt Ltd,2,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,3,Missing,Missing,never,1.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,1.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,never,0.0
city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Missing,2,0.0
city_21,Missing,No relevent experience,no_enrollment,High School,STEM,6,Missing,Missing,>4,1.0
city_134,Missing,No relevent experience,Full time course,High School,STEM,3,10000+,Public Sector,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Missing,>4,0.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Public Sector,1,0.0
city_28,Missing,No relevent experience,no_enrollment,High School,STEM,4,Missing,Pvt Ltd,never,0.0
city_21,Missing,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,1,1.0
city_75,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,2,0.0
city_90,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Missing,Missing,1,0.0
city_40,Male,No relevent experience,Full time course,High School,STEM,3,Missing,Pvt Ltd,never,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,4,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,Arts,17,10000+,Pvt Ltd,>4,0.0
city_134,Missing,Has relevent experience,no_enrollment,Masters,STEM,8,500-999,Pvt Ltd,3,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,3,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,50-99,Pvt Ltd,1,0.0
city_90,Missing,No relevent experience,no_enrollment,Masters,STEM,1,10/49,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,3,1.0
city_46,Male,Has relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,never,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,4,0.0
city_23,Male,Has relevent experience,Part time course,Graduate,STEM,7,1000-4999,Missing,1,0.0
city_162,Missing,Has relevent experience,Full time course,Graduate,STEM,9,Missing,Missing,1,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,3,0.0
city_67,Male,No relevent experience,no_enrollment,Graduate,Humanities,20,Missing,Missing,1,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,never,0.0
city_128,Missing,No relevent experience,no_enrollment,High School,STEM,<1,Missing,Missing,never,0.0
city_103,Male,No relevent experience,no_enrollment,Phd,Other,>20,Missing,Missing,>4,0.0
city_21,Male,No relevent experience,Full time course,High School,STEM,3,Missing,Missing,never,1.0
city_28,Male,No relevent experience,Full time course,Masters,STEM,10,50-99,Public Sector,2,0.0
city_64,Male,Has relevent experience,no_enrollment,High School,STEM,17,50-99,Funded Startup,1,0.0
city_114,Male,Has relevent experience,no_enrollment,High School,STEM,19,1000-4999,Pvt Ltd,>4,0.0
city_143,Male,No relevent experience,no_enrollment,High School,STEM,5,Missing,Missing,never,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,Missing,Missing,4,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,1,0.0
city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,>4,0.0
city_102,Male,Has relevent experience,no_enrollment,Phd,STEM,9,1000-4999,Pvt Ltd,1,0.0
city_103,Male,No relevent experience,no_enrollment,Phd,STEM,10,Missing,Missing,1,1.0
city_152,Male,No relevent experience,no_enrollment,High School,STEM,1,Missing,Missing,never,0.0
city_90,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Missing,Missing,1,1.0
city_103,Male,No relevent experience,no_enrollment,Primary School,STEM,5,<10,Pvt Ltd,1,0.0
city_16,Male,No relevent experience,Full time course,High School,STEM,4,Missing,Pvt Ltd,never,0.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,1,0.0
city_61,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,Missing,Missing,never,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Missing,Missing,2,0.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,6,<10,Pvt Ltd,3,0.0
city_116,Male,No relevent experience,no_enrollment,Graduate,STEM,15,500-999,Missing,never,0.0
city_138,Male,Has relevent experience,Part time course,Graduate,STEM,13,50-99,Public Sector,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,>4,1.0
city_13,Male,Has relevent experience,Part time course,High School,STEM,9,100-500,Pvt Ltd,1,0.0
city_101,Male,No relevent experience,no_enrollment,High School,STEM,3,Missing,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,High School,STEM,3,Missing,Missing,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,Missing,Missing,1,1.0
city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Missing,Missing,3,0.0
city_101,Male,Has relevent experience,Part time course,High School,STEM,6,10/49,Pvt Ltd,1,1.0
city_46,Missing,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,0.0
city_103,Missing,No relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Funded Startup,1,0.0
city_90,Missing,Has relevent experience,Part time course,Graduate,STEM,<1,50-99,NGO,4,0.0
city_21,Missing,No relevent experience,Full time course,High School,STEM,6,Missing,Pvt Ltd,never,0.0
city_23,Missing,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Early Stage Startup,2,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,0.0
city_114,Missing,Has relevent experience,Part time course,Masters,STEM,18,Missing,Missing,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Public Sector,2,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,Missing,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,11,Missing,Missing,2,1.0
city_100,Male,No relevent experience,no_enrollment,Masters,STEM,4,10/49,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Early Stage Startup,1,0.0
city_162,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,0.0
city_160,Male,No relevent experience,Full time course,Graduate,STEM,7,Missing,Missing,1,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,0.0
city_16,Missing,No relevent experience,no_enrollment,Graduate,STEM,<1,Missing,Missing,2,0.0
city_46,Male,Has relevent experience,Full time course,High School,STEM,2,<10,Funded Startup,2,0.0
city_61,Missing,No relevent experience,Full time course,Masters,STEM,13,5000-9999,Public Sector,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,0.0
city_74,Missing,No relevent experience,Full time course,Graduate,STEM,>20,Missing,Missing,never,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Missing,Missing,>4,1.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,7,Missing,Missing,1,1.0
city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,5000-9999,Missing,1,1.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,4,Missing,Missing,never,0.0
city_103,Missing,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Missing,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,8,Missing,Missing,3,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,10/49,Early Stage Startup,never,0.0
city_89,Male,No relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,never,1.0
city_162,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Funded Startup,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Missing,Missing,>4,0.0
city_59,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,1,0.0
city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,4,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,Arts,2,10000+,Pvt Ltd,1,0.0
city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Missing,Missing,1,0.0
city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,0.0
city_138,Missing,Has relevent experience,no_enrollment,Masters,No Major,7,50-99,Pvt Ltd,2,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,1.0
city_103,Male,Has relevent experience,Full time course,Graduate,STEM,6,5000-9999,Public Sector,1,0.0
city_91,Male,No relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,2,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,0.0
city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,0.0
city_103,Male,No relevent experience,no_enrollment,Primary School,STEM,2,Missing,Missing,1,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,7,500-999,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,0.0
city_67,Male,No relevent experience,Part time course,Graduate,Humanities,14,Missing,Missing,>4,1.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,1.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,2,1000-4999,Pvt Ltd,never,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,1,50-99,Missing,1,0.0
city_23,Missing,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,2,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,0.0
city_103,Missing,No relevent experience,Full time course,High School,STEM,3,50-99,Funded Startup,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,2,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,Funded Startup,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,2,0.0
city_149,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,1,0.0
city_98,Missing,No relevent experience,no_enrollment,Graduate,STEM,10,Missing,Missing,1,1.0
city_70,Female,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,1.0
city_36,Male,Has relevent experience,Part time course,Graduate,STEM,16,<10,Pvt Ltd,never,0.0
city_138,Male,Has relevent experience,no_enrollment,Primary School,STEM,11,Missing,Missing,2,0.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Missing,1,1.0
city_103,Missing,No relevent experience,no_enrollment,Graduate,Business Degree,2,100-500,Pvt Ltd,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,9,Missing,Pvt Ltd,never,0.0
city_16,Male,Has relevent experience,no_enrollment,High School,STEM,14,50-99,Pvt Ltd,2,0.0
city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Missing,1,0.0
city_27,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,1.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Missing,1,0.0
city_50,Male,No relevent experience,no_enrollment,Masters,Other,9,Missing,Missing,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,50-99,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,20,Missing,Missing,>4,1.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,>4,0.0
city_102,Missing,Has relevent experience,no_enrollment,Masters,STEM,13,500-999,Missing,never,0.0
city_90,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,NGO,1,0.0
city_16,Missing,Has relevent experience,Full time course,Graduate,STEM,13,50-99,Pvt Ltd,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Pvt Ltd,>4,1.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,2,50-99,Pvt Ltd,1,1.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,0.0
city_109,Male,No relevent experience,Full time course,Graduate,STEM,3,Missing,Missing,1,1.0
city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,1,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,5,Missing,Missing,1,0.0
city_90,Missing,Has relevent experience,no_enrollment,High School,STEM,5,50-99,Pvt Ltd,1,0.0
city_160,Male,Has relevent experience,Full time course,Graduate,STEM,8,100-500,Funded Startup,1,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,4,0.0
city_16,Missing,Has relevent experience,no_enrollment,Graduate,STEM,10,Missing,Missing,1,0.0
city_21,Male,No relevent experience,Full time course,Masters,No Major,3,Missing,Missing,never,1.0
city_152,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,0.0
city_97,Missing,No relevent experience,Full time course,Graduate,STEM,7,Missing,Missing,never,0.0
city_11,Missing,No relevent experience,no_enrollment,Primary School,STEM,1,Missing,Missing,never,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,3,0.0
city_160,Male,No relevent experience,Full time course,Graduate,STEM,10,500-999,Public Sector,1,0.0
city_71,Missing,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Early Stage Startup,1,0.0
city_16,Missing,No relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,0.0
city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Pvt Ltd,3,0.0
city_160,Male,Has relevent experience,Full time course,Graduate,STEM,10,Missing,Missing,1,1.0
city_16,Male,Has relevent experience,Part time course,Graduate,STEM,2,100-500,Pvt Ltd,2,0.0
city_27,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,never,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,0.0
city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Public Sector,2,0.0
city_162,Male,Has relevent experience,Part time course,Graduate,STEM,5,Missing,Pvt Ltd,1,0.0
city_103,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,0.0
city_53,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,1,1.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,0.0
city_160,Male,No relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,>4,0.0
city_16,Male,No relevent experience,no_enrollment,Primary School,STEM,5,Missing,Pvt Ltd,never,0.0
city_145,Missing,Has relevent experience,no_enrollment,Graduate,STEM,2,500-999,NGO,1,1.0
city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,>4,1.0
city_82,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,4,0.0
city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,2,0.0
city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Funded Startup,1,0.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,>4,0.0
city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,never,0.0
city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,10,<10,Pvt Ltd,>4,0.0
city_73,Male,No relevent experience,no_enrollment,Masters,STEM,10,Missing,Missing,1,0.0
city_21,Missing,No relevent experience,no_enrollment,Masters,STEM,8,<10,Early Stage Startup,never,1.0
city_114,Male,Has relevent experience,Part time course,Graduate,STEM,19,100-500,Pvt Ltd,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,3,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,1,0.0
city_89,Male,No relevent experience,Full time course,High School,STEM,7,Missing,Pvt Ltd,never,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Missing,Missing,1,1.0
city_45,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,0.0
city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Funded Startup,1,0.0
city_116,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,never,0.0
city_19,Missing,Has relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,1,1.0
city_114,Missing,No relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,2,0.0
city_136,Missing,Has relevent experience,no_enrollment,Graduate,Arts,10,50-99,Pvt Ltd,1,0.0
city_71,Missing,No relevent experience,no_enrollment,Graduate,Business Degree,16,Missing,Missing,>4,0.0
city_109,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Missing,Pvt Ltd,2,1.0
city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,never,0.0
city_67,Male,Has relevent experience,Part time course,High School,STEM,10,1000-4999,Public Sector,1,0.0
city_90,Missing,No relevent experience,Part time course,Graduate,STEM,4,Missing,Missing,1,0.0
city_165,Male,No relevent experience,Full time course,Masters,Humanities,<1,Missing,Missing,never,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Missing,Missing,1,0.0
city_1,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0.0
city_75,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,0.0
city_27,Missing,No relevent experience,no_enrollment,Masters,STEM,19,50-99,Pvt Ltd,1,0.0
city_16,Male,Has relevent experience,Part time course,High School,STEM,14,Missing,Missing,1,1.0
city_10,Missing,No relevent experience,Full time course,High School,STEM,8,Missing,Missing,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Funded Startup,1,0.0
city_36,Missing,Has relevent experience,Full time course,Masters,STEM,>20,1000-4999,Missing,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,1,0.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Early Stage Startup,2,0.0
city_98,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,0.0
city_21,Missing,Has relevent experience,Part time course,Graduate,STEM,8,10/49,Pvt Ltd,2,1.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,13,Missing,Missing,never,1.0
city_138,Male,No relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,1,0.0
city_16,Missing,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,<1,10/49,Missing,1,1.0
city_103,Male,Has relevent experience,Part time course,Graduate,STEM,17,50-99,Pvt Ltd,4,0.0
city_160,Male,No relevent experience,Full time course,Graduate,STEM,8,Missing,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,10000+,Pvt Ltd,4,1.0
city_26,Male,Has relevent experience,no_enrollment,Masters,Humanities,13,50-99,Pvt Ltd,1,0.0
city_74,Missing,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,never,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,1.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,>4,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,0.0
city_75,Missing,No relevent experience,Full time course,Masters,STEM,18,10000+,Pvt Ltd,4,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,Other,10,10/49,Pvt Ltd,1,0.0
city_70,Missing,Has relevent experience,no_enrollment,Graduate,STEM,3,Missing,Missing,1,1.0
city_90,Male,Has relevent experience,Full time course,Graduate,STEM,14,Missing,Missing,1,0.0
city_138,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,0.0
city_67,Missing,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0.0
city_149,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Funded Startup,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,10/49,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,Missing,Missing,>4,1.0
